sample_id,record_id,dataset,site,split,video_key,frame_index,representative_stratum,challenge_additional_stratum,challenge_smoke_flag,challenge_reasons,central_area_instrument_fraction,sequence_key
HR0186,site2/train/video15frame030,EndoVis 2018,site2,train,site2/video15,30,1,0,0,,0.294830322265625,site2/train/video15
HR0187,site2/train/video15frame053,EndoVis 2018,site2,train,site2/video15,53,1,0,0,,0.3364929258823395,site2/train/video15
HR0188,site2/train/video15frame073,EndoVis 2018,site2,train,site2/video15,73,1,0,0,,0.3019042909145355,site2/train/video15
HR0189,site2/train/video15frame079,EndoVis 2018,site2,train,site2/video15,79,1,0,0,,0.5303192138671875,site2/train/video15
HR0190,site2/train/video15frame101,EndoVis 2018,site2,train,site2/video15,101,1,0,0,,0.11551818996667862,site2/train/video15
HR0191,site2/train/video15frame119,EndoVis 2018,site2,train,site2/video15,119,1,0,0,,0.17987060546875,site2/train/video15
HR0192,site2/train/video15frame135,EndoVis 2018,site2,train,site2/video15,135,1,0,0,,0.41606444120407104,site2/train/video15
HR0193,site2/train/video16frame003,EndoVis 2018,site2,train,site2/video16,3,1,0,0,,0.09813232719898224,site2/train/video16
HR0194,site2/train/video16frame035,EndoVis 2018,site2,train,site2/video16,35,1,0,0,,0.0179901123046875,site2/train/video16
HR0195,site2/train/video16frame056,EndoVis 2018,site2,train,site2/video16,56,1,0,0,,0.09129943698644638,site2/train/video16
HR0196,site2/train/video16frame068,EndoVis 2018,site2,train,site2/video16,68,1,0,0,,0.15195922553539276,site2/train/video16
HR0197,site2/train/video16frame092,EndoVis 2018,site2,train,site2/video16,92,1,0,0,,0.03818664699792862,site2/train/video16
HR0198,site2/train/video16frame099,EndoVis 2018,site2,train,site2/video16,99,1,0,0,,0.04609375074505806,site2/train/video16
HR0199,site2/train/video16frame126,EndoVis 2018,site2,train,site2/video16,126,1,0,0,,0.15534667670726776,site2/train/video16
HR0200,site2/train/video16frame147,EndoVis 2018,site2,train,site2/video16,147,1,0,0,,0.29293519258499146,site2/train/video16
HR0201,site2/train/video1frame019,EndoVis 2018,site2,train,site2/video1,19,1,0,0,,0.06989745795726776,site2/train/video1
HR0202,site2/train/video1frame043,EndoVis 2018,site2,train,site2/video1,43,1,0,0,,0.07122802734375,site2/train/video1
HR0203,site2/train/video1frame124,EndoVis 2018,site2,train,site2/video1,124,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.10967407375574112,site2/train/video1
HR0204,site2/train/video2frame047,EndoVis 2018,site2,train,site2/video2,47,1,0,0,,0.1705322265625,site2/train/video2
HR0205,site2/train/video2frame070,EndoVis 2018,site2,train,site2/video2,70,1,0,0,,0.01587829552590847,site2/train/video2
HR0206,site2/train/video3frame131,EndoVis 2018,site2,train,site2/video3,131,1,0,0,,0.309286504983902,site2/train/video3
HR0207,site2/train/video4frame017,EndoVis 2018,site2,train,site2/video4,17,1,0,0,,0.00911865197122097,site2/train/video4
HR0208,site2/train/video4frame028,EndoVis 2018,site2,train,site2/video4,28,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement,0.3063720762729645,site2/train/video4
HR0209,site2/train/video4frame098,EndoVis 2018,site2,train,site2/video4,98,1,0,0,,0.3114868104457855,site2/train/video4
HR0210,site2/train/video4frame141,EndoVis 2018,site2,train,site2/video4,141,1,0,0,,0.1006317138671875,site2/train/video4
HR0211,site2/train/video5frame017,EndoVis 2018,site2,train,site2/video5,17,1,0,0,,0.0009124755742959678,site2/train/video5
HR0212,site2/train/video5frame034,EndoVis 2018,site2,train,site2/video5,34,1,0,0,,0.14442138373851776,site2/train/video5
HR0213,site2/train/video5frame042,EndoVis 2018,site2,train,site2/video5,42,1,0,0,,0.14742736518383026,site2/train/video5
HR0214,site2/train/video5frame068,EndoVis 2018,site2,train,site2/video5,68,1,0,0,,0.286508172750473,site2/train/video5
HR0215,site2/train/video5frame084,EndoVis 2018,site2,train,site2/video5,84,1,0,0,,0.15473632514476776,site2/train/video5
HR0216,site2/train/video5frame112,EndoVis 2018,site2,train,site2/video5,112,1,0,0,,0.19237060844898224,site2/train/video5
HR0217,site2/train/video5frame121,EndoVis 2018,site2,train,site2/video5,121,1,0,0,,0.21628418564796448,site2/train/video5
HR0218,site2/train/video5frame133,EndoVis 2018,site2,train,site2/video5,133,1,0,0,,0.0967864990234375,site2/train/video5
HR0219,site2/train/video6frame000,EndoVis 2018,site2,train,site2/video6,0,1,0,0,,0.411712646484375,site2/train/video6
HR0220,site2/train/video6frame023,EndoVis 2018,site2,train,site2/video6,23,1,0,0,,0.11768493801355362,site2/train/video6
HR0221,site2/train/video6frame044,EndoVis 2018,site2,train,site2/video6,44,1,0,0,,0.29490965604782104,site2/train/video6
HR0222,site2/train/video6frame064,EndoVis 2018,site2,train,site2/video6,64,1,0,0,,0.3399658203125,site2/train/video6
HR0223,site2/train/video6frame086,EndoVis 2018,site2,train,site2/video6,86,1,0,0,,0.16796569526195526,site2/train/video6
HR0224,site2/train/video6frame105,EndoVis 2018,site2,train,site2/video6,105,1,0,0,,0.09305725246667862,site2/train/video6
HR0225,site2/train/video6frame127,EndoVis 2018,site2,train,site2/video6,127,1,0,0,,0.3836914002895355,site2/train/video6
HR0226,site2/train/video6frame138,EndoVis 2018,site2,train,site2/video6,138,1,0,0,,0.05652465671300888,site2/train/video6
HR0227,site2/train/video7frame000,EndoVis 2018,site2,train,site2/video7,0,1,0,0,,0.10473938286304474,site2/train/video7
HR0228,site2/train/video7frame026,EndoVis 2018,site2,train,site2/video7,26,1,0,0,,0.05724792554974556,site2/train/video7
HR0229,site2/train/video7frame031,EndoVis 2018,site2,train,site2/video7,31,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.0063568116165697575,site2/train/video7
HR0230,site2/train/video7frame041,EndoVis 2018,site2,train,site2/video7,41,1,0,0,,0.05121154710650444,site2/train/video7
HR0231,site2/train/video7frame067,EndoVis 2018,site2,train,site2/video7,67,1,0,0,,0.2366485595703125,site2/train/video7
HR0232,site2/train/video7frame076,EndoVis 2018,site2,train,site2/video7,76,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.0,site2/train/video7
HR0233,site2/train/video7frame077,EndoVis 2018,site2,train,site2/video7,77,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.0,site2/train/video7
HR0234,site2/train/video7frame081,EndoVis 2018,site2,train,site2/video7,81,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.011157226748764515,site2/train/video7
HR0235,site2/train/video7frame087,EndoVis 2018,site2,train,site2/video7,87,1,0,0,,0.011199951171875,site2/train/video7
HR0236,site2/train/video7frame097,EndoVis 2018,site2,train,site2/video7,97,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.01593322679400444,site2/train/video7
HR0237,site2/train/video7frame104,EndoVis 2018,site2,train,site2/video7,104,1,0,0,,0.14974060654640198,site2/train/video7
HR0238,site2/train/video7frame129,EndoVis 2018,site2,train,site2/video7,129,1,0,0,,0.3194824159145355,site2/train/video7
HR0239,site2/train/video7frame132,EndoVis 2018,site2,train,site2/video7,132,1,0,0,,0.32771605253219604,site2/train/video7
HR0240,site2/train/video7frame146,EndoVis 2018,site2,train,site2/video7,146,0,1,0,contrast_abnormal | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement | semantic_occlusion_positive,0.02204284630715847,site2/train/video7
HR0241,site2/train/video9frame012,EndoVis 2018,site2,train,site2/video9,12,1,0,0,,0.374725341796875,site2/train/video9
HR0242,site2/train/video9frame020,EndoVis 2018,site2,train,site2/video9,20,1,0,0,,0.41228026151657104,site2/train/video9
HR0243,site2/train/video9frame055,EndoVis 2018,site2,train,site2/video9,55,1,0,0,,0.03752441331744194,site2/train/video9
HR0244,site2/train/video9frame064,EndoVis 2018,site2,train,site2/video9,64,1,0,0,,0.051239013671875,site2/train/video9
HR0245,site2/train/video9frame078,EndoVis 2018,site2,train,site2/video9,78,1,0,0,,0.0047454833984375,site2/train/video9
HR0246,site2/train/video9frame099,EndoVis 2018,site2,train,site2/video9,99,1,0,0,,0.12894287705421448,site2/train/video9
HR0247,site2/train/video9frame116,EndoVis 2018,site2,train,site2/video9,116,1,0,0,,0.17113952338695526,site2/train/video9
HR0248,site2/train/video9frame131,EndoVis 2018,site2,train,site2/video9,131,1,0,0,,0.0763397216796875,site2/train/video9
HR0249,site2/train/video9frame136,EndoVis 2018,site2,train,site2/video9,136,0,1,1,all_machine_smoke_positive | contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | semantic_occlusion_positive,0.05174865573644638,site2/train/video9
HR0250,site2/train/video9frame138,EndoVis 2018,site2,train,site2/video9,138,0,1,0,contrast_abnormal | glare_positive | machine_min_confidence_le_0.6 | nonclear_quality | q8_disagrees_with_5pct_mask_rule | ranked_rare_low_confidence_or_mask_disagreement,0.03244934231042862,site2/train/video9
